Account,Date,Description,Amount,Type,ChaseBalance,Category,Group,Confidence,Note
Checking ...0861,08/31/2026,CHECK 287,-500.0,CHECK_PAID,643.99,Others,Expenses,R,Paper check - payee not shown on the statement; please tell me who checks were written to
Checking ...0861,08/31/2026,TARGET T-0680 HENDERSON NV                   08/31,-31.46,DEBIT_CARD,1143.99,Shop - Others,Expenses,D,
Checking ...0861,08/31/2026,TARGET T-0680 HENDERSON NV                   08/31,-37.59,DEBIT_CARD,1175.45,Shop - Others,Expenses,D,
Checking ...0861,08/31/2026,Taptap Send New York NY                      08/31,-330.0,DEBIT_CARD,1213.04,Remittance - others,Expenses,R,"Remittance app transfer - recipient not shown; please tell me if this is Aron, Aron's tuition, or someone else"
Checking ...0861,08/31/2026,AMAZON MARKETPLA INTERNET   043000094110624 WEB ID: 9049016352,-7.58,ACH_DEBIT,1543.04,Shop - Amazon,Expenses,H,
Checking ...0861,08/31/2026,AMAZON MARKETPLA INTERNET   043000094103452 WEB ID: 9049016352,-14.36,ACH_DEBIT,1550.62,Shop - Amazon,Expenses,H,
Checking ...0861,08/31/2026,AMAZON MARKETPLA INTERNET   043000094057250 WEB ID: 9049016352,-32.5,ACH_DEBIT,1564.98,Shop - Amazon,Expenses,H,
Checking ...0861,08/31/2026,AMAZON MARKETPLA INTERNET   043000094173468 WEB ID: 9049016352,-34.67,ACH_DEBIT,1597.48,Shop - Amazon,Expenses,H,
Checking ...0861,08/31/2026,AMAZON MARKETPLA INTERNET   043000094158962 WEB ID: 9049016352,-52.71,ACH_DEBIT,1632.15,Shop - Amazon,Expenses,H,
Checking ...0861,08/31/2026,AMAZON MARKETPLA INTERNET   043000094138568 WEB ID: 9049016352,-58.4,ACH_DEBIT,1684.86,Shop - Amazon,Expenses,H,
Checking ...0861,08/31/2026,Taptap Send New York NY                      08/31,-178.57,DEBIT_CARD,1743.26,Remittance - others,Expenses,R,"Remittance app transfer - recipient not shown; please tell me if this is Aron, Aron's tuition, or someone else"
Checking ...0861,08/31/2026,IKEA LAS VEGAS RESTAUR LAS VEGAS NV  419841  08/30,-45.14,DEBIT_CARD,1921.83,Food - Eat Out,Expenses,D,Restaurant/fast-food - defaulted to Eat Out; move to Food - Ailynn/Chris/Misc if you know whose order it was
Checking ...0861,08/31/2026,SQ *BK BAKERY LLC Las Vegas NV               08/30,-60.04,DEBIT_CARD,1966.97,Food - Eat Out,Expenses,D,Restaurant/fast-food - defaulted to Eat Out; move to Food - Ailynn/Chris/Misc if you know whose order it was
